Pincode,StateName
515445,ANDHRA PRADESH
515002,ANDHRA PRADESH
825405,JHARKHAND
533290,ANDHRA PRADESH
754025,ODISHA
802205,BIHAR
768033,ODISHA
788806,ASSAM
788723,ASSAM
788733,ASSAM
788701,ASSAM
788725,ASSAM
788726,ASSAM
788728,ASSAM
147007,PUNJAB
140402,PUNJAB
333517,RAJASTHAN
847122,BIHAR
331027,RAJASTHAN
333020,RAJASTHAN
333055,RAJASTHAN
759151,ODISHA
201001,UTTAR PRADESH
847227,BIHAR
847232,BIHAR
847421,BIHAR
847231,BIHAR
847214,BIHAR
503003,TELANGANA
575009,KARNATAKA
141110,PUNJAB
802183,BIHAR
802313,BIHAR
802206,BIHAR
802314,BIHAR
802159,BIHAR
847301,BIHAR
282001,UTTAR PRADESH
501106,TELANGANA
516213,ANDHRA PRADESH
781320,ASSAM
781367,ASSAM
781377,ASSAM
781371,ASSAM
788117,ASSAM
788817,ASSAM
788113,ASSAM
788802,ASSAM
383002,GUJARAT
383422,GUJARAT
343029,RAJASTHAN
382430,GUJARAT
847104,BIHAR
847302,BIHAR
846003,BIHAR
384330,GUJARAT
494230,CHHATTISGARH
141008,PUNJAB
504204,TELANGANA
504201,TELANGANA
504294,TELANGANA
504302,TELANGANA
504206,TELANGANA
504207,TELANGANA
504216,TELANGANA
504205,TELANGANA
504231,TELANGANA
504214,TELANGANA
504215,TELANGANA
504209,TELANGANA
504219,TELANGANA
503307,TELANGANA
503165,TELANGANA
503175,TELANGANA
503164,TELANGANA
533237,ANDHRA PRADESH
515561,ANDHRA PRADESH
506342,TELANGANA
507210,TELANGANA
847204,BIHAR
847427,BIHAR
506112,TELANGANA
506135,TELANGANA
495116,CHHATTISGARH
495004,CHHATTISGARH
788816,ASSAM
784171,ASSAM
784149,ASSAM
516193,ANDHRA PRADESH
516003,ANDHRA PRADESH
516269,ANDHRA PRADESH
516215,ANDHRA PRADESH
516002,ANDHRA PRADESH
516505,ANDHRA PRADESH
516268,ANDHRA PRADESH
516105,ANDHRA PRADESH
516501,ANDHRA PRADESH
516128,ANDHRA PRADESH
516101,ANDHRA PRADESH
494347,CHHATTISGARH
494237,CHHATTISGARH
494010,CHHATTISGARH
494552,CHHATTISGARH
503308,TELANGANA
503218,TELANGANA
503213,TELANGANA
516247,ANDHRA PRADESH
516126,ANDHRA PRADESH
516152,ANDHRA PRADESH
516150,ANDHRA PRADESH
495224,CHHATTISGARH
495112,CHHATTISGARH
495222,CHHATTISGARH
495550,CHHATTISGARH
495113,CHHATTISGARH
847105,BIHAR
759147,ODISHA
822112,JHARKHAND
822129,JHARKHAND
822114,JHARKHAND
822133,JHARKHAND
822120,JHARKHAND
754023,ODISHA
754296,ODISHA
754024,ODISHA
755013,ODISHA
160055,PUNJAB
755043,ODISHA
755014,ODISHA
639103,TAMIL NADU
754082,ODISHA
505425,TELANGANA
755016,ODISHA
754217,ODISHA
754219,ODISHA
754218,ODISHA
754253,ODISHA
754239,ODISHA
754208,ODISHA
754292,ODISHA
754222,ODISHA
754240,ODISHA
754210,ODISHA
754289,ODISHA
754214,ODISHA
754248,ODISHA
754244,ODISHA
754216,ODISHA
754223,ODISHA
505529,TELANGANA
505460,TELANGANA
754295,ODISHA
754032,ODISHA
802222,BIHAR
802162,BIHAR
533232,ANDHRA PRADESH
535525,ANDHRA PRADESH
535005,ANDHRA PRADESH
515763,ANDHRA PRADESH
515701,ANDHRA PRADESH
755017,ODISHA
755018,ODISHA
754205,ODISHA
755036,ODISHA
755027,ODISHA
755003,ODISHA
822121,JHARKHAND
516401,ANDHRA PRADESH
335522,RAJASTHAN
506105,TELANGANA
506315,TELANGANA
506368,TELANGANA
506132,TELANGANA
506104,TELANGANA
506122,TELANGANA
506102,TELANGANA
506365,TELANGANA
506369,TELANGANA
506006,TELANGANA
506330,TELANGANA
495552,CHHATTISGARH
495559,CHHATTISGARH
495668,CHHATTISGARH
495669,CHHATTISGARH
515408,ANDHRA PRADESH
515415,ANDHRA PRADESH
515751,ANDHRA PRADESH
533107,ANDHRA PRADESH
535260,ANDHRA PRADESH
535126,ANDHRA PRADESH
535124,ANDHRA PRADESH
516349,ANDHRA PRADESH
517194,ANDHRA PRADESH
517305,ANDHRA PRADESH
517152,ANDHRA PRADESH
517297,ANDHRA PRADESH
517213,ANDHRA PRADESH
517236,ANDHRA PRADESH
517234,ANDHRA PRADESH
847304,BIHAR
847121,BIHAR
847107,BIHAR
846009,BIHAR
847115,BIHAR
847306,BIHAR
846005,BIHAR
847307,BIHAR
847337,BIHAR
846007,BIHAR
847123,BIHAR
847202,BIHAR
305813,RAJASTHAN
305811,RAJASTHAN
741123,WEST BENGAL
305004,RAJASTHAN
786003,ASSAM
786184,ASSAM
786004,ASSAM
786101,ASSAM
786602,ASSAM
786614,ASSAM
786001,ASSAM
785676,ASSAM
785675,ASSAM
786010,ASSAM
786012,ASSAM
786610,ASSAM
786621,ASSAM
786611,ASSAM
847101,BIHAR
847203,BIHAR
845432,BIHAR
845433,BIHAR
845305,BIHAR
845434,BIHAR
845435,BIHAR
845456,BIHAR
845436,BIHAR
845437,BIHAR
506103,TELANGANA
506007,TELANGANA
847303,BIHAR
495663,CHHATTISGARH
501143,TELANGANA
501502,TELANGANA
501158,TELANGANA
524421,ANDHRA PRADESH
524126,ANDHRA PRADESH
524323,ANDHRA PRADESH
524129,ANDHRA PRADESH
524345,ANDHRA PRADESH
524121,ANDHRA PRADESH
524408,ANDHRA PRADESH
524313,ANDHRA PRADESH
524366,ANDHRA PRADESH
524303,ANDHRA PRADESH
524308,ANDHRA PRADESH
524302,ANDHRA PRADESH
524002,ANDHRA PRADESH
524311,ANDHRA PRADESH
524318,ANDHRA PRADESH
524319,ANDHRA PRADESH
500036,TELANGANA
523171,ANDHRA PRADESH
523190,ANDHRA PRADESH
523167,ANDHRA PRADESH
523181,ANDHRA PRADESH
523184,ANDHRA PRADESH
523169,ANDHRA PRADESH
523157,ANDHRA PRADESH
523185,ANDHRA PRADESH
523170,ANDHRA PRADESH
847106,BIHAR
845401,BIHAR
841302,BIHAR
786103,ASSAM
786612,ASSAM
787033,ASSAM
784161,ASSAM
787055,ASSAM
503225,TELANGANA
503212,TELANGANA
503219,TELANGANA
503311,TELANGANA
503223,TELANGANA
494635,CHHATTISGARH
494335,CHHATTISGARH
494332,CHHATTISGARH
523281,ANDHRA PRADESH
523271,ANDHRA PRADESH
500005,TELANGANA
500113,TELANGANA
501359,TELANGANA
501218,TELANGANA
500112,TELANGANA
501506,TELANGANA
501510,TELANGANA
494111,CHHATTISGARH
494442,CHHATTISGARH
494115,CHHATTISGARH
507182,TELANGANA
507159,TELANGANA
491441,CHHATTISGARH
535463,ANDHRA PRADESH
535523,ANDHRA PRADESH
503188,ANDHRA PRADESH
535594,ANDHRA PRADESH
535521,ANDHRA PRADESH
535524,ANDHRA PRADESH
535526,ANDHRA PRADESH
535534,ANDHRA PRADESH
535582,ANDHRA PRADESH
488059,MADHYA PRADESH
212308,UTTAR PRADESH
522646,ANDHRA PRADESH
522401,ANDHRA PRADESH
533436,ANDHRA PRADESH
533291,ANDHRA PRADESH
533446,ANDHRA PRADESH
533408,ANDHRA PRADESH
533401,ANDHRA PRADESH
501508,TELANGANA
501512,TELANGANA
501511,TELANGANA
500039,TELANGANA
786008,ASSAM
786191,ASSAM
494448,CHHATTISGARH
508253,TELANGANA
506003,TELANGANA
534267,ANDHRA PRADESH
848202,BIHAR
851129,BIHAR
